lemma,length,suffix_2,suffix_3,suffix_4,prefix_2,prefix_3,prefix_4,projection_x,projection_y,article
reus,4,us,eus,reus,re,reu,reus,9.536523,9.123493,de
beeld,5,ld,eld,eeld,be,bee,beel,13.703913,12.917875,both
overwinning,11,ng,ing,ning,ov,ove,over,13.367515,15.615757,de
man,3,an,man,man,ma,man,man,13.339617,8.760611,both
lijn,4,jn,ijn,lijn,li,lij,lijn,10.223714,7.8212476,de
baan,4,an,aan,baan,ba,baa,baan,9.440465,13.859544,de
doel,4,el,oel,doel,do,doe,doel,5.266117,10.693545,both
vervolg,7,lg,olg,volg,ve,ver,verv,10.672041,9.474832,both
geval,5,al,val,eval,ge,gev,geva,11.37029,11.242452,both
rust,4,st,ust,rust,ru,rus,rust,11.659877,6.9550276,de
aanvalsdrift,12,ft,ift,rift,aa,aan,aanv,10.974253,11.404285,de
keeper,6,er,per,eper,ke,kee,keep,10.156611,12.020838,de
wedstrijd,9,jd,ijd,rijd,we,wed,weds,6.2424917,9.880596,both
afronding,9,ng,ing,ding,af,afr,afro,9.659753,9.395634,de
goalie,6,ie,lie,alie,go,goa,goal,5.318426,10.639267,de
muur,4,ur,uur,muur,mu,muu,muur,8.812429,7.83268,de
cursus,6,us,sus,rsus,cu,cur,curs,11.70841,8.635079,both
materiaal,9,al,aal,iaal,ma,mat,mate,10.144892,6.597232,both
sla,3,la,sla,sla,sl,sla,sla,12.709947,8.0163555,de
einde,5,de,nde,inde,ei,ein,eind,9.597285,9.54905,both
oefenmateriaal,14,al,aal,iaal,oe,oef,oefe,6.6837497,10.787999,het
les,3,es,les,les,le,les,les,12.943199,7.804292,de
kost,4,st,ost,kost,ko,kos,kost,11.470756,6.852443,de
opleiding,9,ng,ing,ding,op,opl,ople,6.486979,11.532474,de
stichting,9,ng,ing,ting,st,sti,stic,10.092508,9.553903,de
featureset,10,et,set,eset,fe,fea,feat,11.271133,10.170622,de
speler,6,er,ler,eler,sp,spe,spel,6.7244773,10.118344,de
specificatie,12,ie,tie,atie,sp,spe,spec,10.0177965,10.230783,de
line,4,ne,ine,line,li,lin,line,10.192287,7.8509574,de
schermpje,9,je,pje,mpje,sc,sch,sche,13.410391,11.901559,het
pixeldichtheid,14,id,eid,heid,pi,pix,pixe,13.788357,12.974407,de
knop,4,op,nop,knop,kn,kno,knop,10.629858,8.094271,de
powerconnector,14,or,tor,ctor,po,pow,powe,4.2432013,11.032447,de
connectortje,12,je,tje,rtje,co,con,conn,8.505164,9.936699,de
feit,4,it,eit,feit,fe,fei,feit,11.988586,10.544822,both
volumeknop,10,op,nop,knop,vo,vol,volu,9.387388,9.174454,de
dop,3,op,dop,dop,do,dop,dop,13.155248,7.8505373,de
menus,5,us,nus,enus,me,men,menu,12.325815,4.30522,de
accuduur,8,ur,uur,duur,ac,acc,accu,11.214245,9.318505,de
aantal,6,al,tal,ntal,aa,aan,aant,10.356511,10.125159,both
nut,3,ut,nut,nut,nu,nut,nut,11.8813305,6.373077,het
accu,4,cu,ccu,accu,ac,acc,accu,11.487795,11.474381,de
verkoper,8,er,per,oper,ve,ver,verk,8.689089,11.946153,de
look,4,ok,ook,look,lo,loo,look,11.720644,9.465858,de
geluidskwaliteit,16,it,eit,teit,ge,gel,gelu,15.95493,12.6237,de
prijs,5,js,ijs,rijs,pr,pri,prij,7.9973025,12.854454,both
schoonheidsfoutje,17,je,tje,utje,sc,sch,scho,13.204806,9.439708,de
iPod-hater,10,er,ter,ater,ip,ipo,ipod,15.523528,12.116867,de
categorie,9,ie,rie,orie,ca,cat,cate,10.484072,10.379767,de
lijst,5,st,jst,ijst,li,lij,lijs,10.36865,10.542482,both
vorming,7,ng,ing,ming,vo,vor,vorm,12.644814,7.681747,de
kader,5,er,der,ader,ka,kad,kade,11.553839,8.754315,both
